# Generated: 2025-12-30T02:28:48.853220
# Source: scripts/generate_crosswalk.py
# Review status: auto-generated, pending expert review
naics_code,naics_name,relationship,uniclass_code,uniclass_table,uniclass_title,cardinality,confidence,notes
236,Construction of Buildings,manages,En_20_60_10,En,Army buildings,1:N,B,score=0.333
236,Construction of Buildings,manages,En_20_60_56,En,Navy buildings,1:N,B,score=0.333
236,Construction of Buildings,manages,En_20_65_09,En,Police buildings,1:N,B,score=0.333
236,Construction of Buildings,manages,En_20_75_10,En,Detention buildings,1:N,B,score=0.333
236,Construction of Buildings,manages,En_25_30_40,En,Laboratory buildings,1:N,B,score=0.333
236,Construction of Buildings,manages,En_25_30_60,En,Observatory buildings,1:N,B,score=0.333
236,Construction of Buildings,manages,En_25_30_70,En,Research buildings,1:N,B,score=0.333
2361,Residential Building Construction,coordinates,Ss_55_20_14_70,Ss,Residential central vacuum systems,1:N,B,score=0.444
2361,Residential Building Construction,coordinates,Ss_55_30_98_23,Ss,Domestic and residential sprinkler systems,1:N,B,score=0.444
2361,Residential Building Construction,coordinates,Ss_90_45,Ss,Specific demand of residential organizations,1:N,B,score=0.444
2361,Residential Building Construction,coordinates,Ss_40_45_70,Ss,Residential living space FF&E systems,1:N,B,score=0.364
2361,Residential Building Construction,coordinates,Ss_55_30_98_70,Ss,Residential water mist systems,1:N,B,score=0.308
2361,Residential Building Construction,coordinates,Pr_40_30_04,Pr,Animal housing,1:N,A,score=0.571
2361,Residential Building Construction,coordinates,Pr_65_70_50_37,Pr,Home run cables,1:N,A,score=0.5
2361,Residential Building Construction,coordinates,Pr_65_67_29_96,Pr,Whole dwelling fan units,1:N,B,score=0.444
2361,Residential Building Construction,coordinates,Pr_40_30_75_38,Pr,Home and office safes,1:N,B,score=0.364
2361,Residential Building Construction,coordinates,Ac_45,Ac,Residential activities,1:N,A,score=0.571
2361,Residential Building Construction,coordinates,Ac_45_70,Ac,Residential support activities,1:N,A,score=0.5
2361,Residential Building Construction,manages,En_45,En,Residential entities,1:N,A,score=0.571
2361,Residential Building Construction,manages,En_45_10,En,Residential buildings,1:N,A,score=0.571
2361,Residential Building Construction,manages,En_35_50_70,En,Residential welfare buildings,1:N,A,score=0.5
2361,Residential Building Construction,manages,En_45_10_90,En,Temporary residential buildings,1:N,A,score=0.5
2361,Residential Building Construction,manages,En_45_10_47,En,Long-term residential buildings,1:N,B,score=0.444
2361,Residential Building Construction,manages,En_45_10_70,En,Short-term residential buildings,1:N,B,score=0.444
2361,Residential Building Construction,manages,Co_45,Co,Residential complexes,1:N,A,score=0.571
2361,Residential Building Construction,manages,Co_45_10_41,Co,Housing estates,1:N,A,score=0.571
2361,Residential Building Construction,manages,Co_45_10_74,Co,Residential properties,1:N,A,score=0.571
2361,Residential Building Construction,manages,Co_45_10_78,Co,Sheltered housing,1:N,A,score=0.571
2361,Residential Building Construction,manages,Co_45_10_36,Co,High-rise residential complexes,1:N,B,score=0.444
23611,Residential Building Construction,coordinates,Ss_55_20_14_70,Ss,Residential central vacuum systems,1:N,B,score=0.444
23611,Residential Building Construction,coordinates,Ss_55_30_98_23,Ss,Domestic and residential sprinkler systems,1:N,B,score=0.444
23611,Residential Building Construction,coordinates,Ss_90_45,Ss,Specific demand of residential organizations,1:N,B,score=0.444
23611,Residential Building Construction,coordinates,Ss_40_45_70,Ss,Residential living space FF&E systems,1:N,B,score=0.364
23611,Residential Building Construction,coordinates,Ss_55_30_98_70,Ss,Residential water mist systems,1:N,B,score=0.308
23611,Residential Building Construction,coordinates,Pr_40_30_04,Pr,Animal housing,1:N,A,score=0.571
23611,Residential Building Construction,coordinates,Pr_65_70_50_37,Pr,Home run cables,1:N,A,score=0.5
23611,Residential Building Construction,coordinates,Pr_65_67_29_96,Pr,Whole dwelling fan units,1:N,B,score=0.444
23611,Residential Building Construction,coordinates,Pr_40_30_75_38,Pr,Home and office safes,1:N,B,score=0.364
23611,Residential Building Construction,coordinates,Ac_45,Ac,Residential activities,1:N,A,score=0.571
23611,Residential Building Construction,coordinates,Ac_45_70,Ac,Residential support activities,1:N,A,score=0.5
23611,Residential Building Construction,manages,En_45,En,Residential entities,1:N,A,score=0.571
23611,Residential Building Construction,manages,En_45_10,En,Residential buildings,1:N,A,score=0.571
23611,Residential Building Construction,manages,En_35_50_70,En,Residential welfare buildings,1:N,A,score=0.5
23611,Residential Building Construction,manages,En_45_10_90,En,Temporary residential buildings,1:N,A,score=0.5
23611,Residential Building Construction,manages,En_45_10_47,En,Long-term residential buildings,1:N,B,score=0.444
23611,Residential Building Construction,manages,En_45_10_70,En,Short-term residential buildings,1:N,B,score=0.444
23611,Residential Building Construction,manages,Co_45,Co,Residential complexes,1:N,A,score=0.571
23611,Residential Building Construction,manages,Co_45_10_41,Co,Housing estates,1:N,A,score=0.571
23611,Residential Building Construction,manages,Co_45_10_74,Co,Residential properties,1:N,A,score=0.571
23611,Residential Building Construction,manages,Co_45_10_78,Co,Sheltered housing,1:N,A,score=0.571
23611,Residential Building Construction,manages,Co_45_10_36,Co,High-rise residential complexes,1:N,B,score=0.444
236115,New Single-Family Housing Construction (except For-Sale Builders),coordinates,Ss_55_20_14_70,Ss,Residential central vacuum systems,1:N,C,score=0.286
236115,New Single-Family Housing Construction (except For-Sale Builders),coordinates,Ss_55_30_98_23,Ss,Domestic and residential sprinkler systems,1:N,C,score=0.286
236115,New Single-Family Housing Construction (except For-Sale Builders),coordinates,Ss_90_45,Ss,Specific demand of residential organizations,1:N,C,score=0.286
236115,New Single-Family Housing Construction (except For-Sale Builders),coordinates,Ss_40_45_70,Ss,Residential living space FF&E systems,1:N,C,score=0.25
236115,New Single-Family Housing Construction (except For-Sale Builders),coordinates,Ss_55_30_98_70,Ss,Residential water mist systems,1:N,C,score=0.222
236115,New Single-Family Housing Construction (except For-Sale Builders),coordinates,Pr_40_30_04,Pr,Animal housing,1:N,B,score=0.333
236115,New Single-Family Housing Construction (except For-Sale Builders),coordinates,Pr_65_70_50_37,Pr,Home run cables,1:N,B,score=0.308
236115,New Single-Family Housing Construction (except For-Sale Builders),coordinates,Pr_65_67_29_96,Pr,Whole dwelling fan units,1:N,C,score=0.286
236115,New Single-Family Housing Construction (except For-Sale Builders),coordinates,Pr_40_30_75_38,Pr,Home and office safes,1:N,C,score=0.25
236115,New Single-Family Housing Construction (except For-Sale Builders),coordinates,Ac_45,Ac,Residential activities,1:N,B,score=0.333
236115,New Single-Family Housing Construction (except For-Sale Builders),coordinates,Ac_45_70,Ac,Residential support activities,1:N,B,score=0.308
236115,New Single-Family Housing Construction (except For-Sale Builders),manages,En_45,En,Residential entities,1:N,B,score=0.333
236115,New Single-Family Housing Construction (except For-Sale Builders),manages,En_45_10,En,Residential buildings,1:N,B,score=0.333
236115,New Single-Family Housing Construction (except For-Sale Builders),manages,En_35_50_70,En,Residential welfare buildings,1:N,B,score=0.308
236115,New Single-Family Housing Construction (except For-Sale Builders),manages,En_45_10_90,En,Temporary residential buildings,1:N,B,score=0.308
236115,New Single-Family Housing Construction (except For-Sale Builders),manages,En_45_10_47,En,Long-term residential buildings,1:N,C,score=0.286
236115,New Single-Family Housing Construction (except For-Sale Builders),manages,En_45_10_70,En,Short-term residential buildings,1:N,C,score=0.286
236115,New Single-Family Housing Construction (except For-Sale Builders),manages,Co_45,Co,Residential complexes,1:N,B,score=0.333
236115,New Single-Family Housing Construction (except For-Sale Builders),manages,Co_45_10_41,Co,Housing estates,1:N,B,score=0.333
236115,New Single-Family Housing Construction (except For-Sale Builders),manages,Co_45_10_74,Co,Residential properties,1:N,B,score=0.333
236115,New Single-Family Housing Construction (except For-Sale Builders),manages,Co_45_10_78,Co,Sheltered housing,1:N,B,score=0.333
236115,New Single-Family Housing Construction (except For-Sale Builders),manages,Co_45_10_36,Co,High-rise residential complexes,1:N,C,score=0.286
236116,New Multifamily Housing Construction (except For-Sale Builders),coordinates,Ss_55_20_14_70,Ss,Residential central vacuum systems,1:N,B,score=0.308
236116,New Multifamily Housing Construction (except For-Sale Builders),coordinates,Ss_55_30_98_23,Ss,Domestic and residential sprinkler systems,1:N,B,score=0.308
236116,New Multifamily Housing Construction (except For-Sale Builders),coordinates,Ss_90_45,Ss,Specific demand of residential organizations,1:N,B,score=0.308
236116,New Multifamily Housing Construction (except For-Sale Builders),coordinates,Ss_40_45_70,Ss,Residential living space FF&E systems,1:N,C,score=0.267
236116,New Multifamily Housing Construction (except For-Sale Builders),coordinates,Ss_55_30_98_70,Ss,Residential water mist systems,1:N,C,score=0.235
236116,New Multifamily Housing Construction (except For-Sale Builders),coordinates,Pr_40_30_04,Pr,Animal housing,1:N,B,score=0.364
236116,New Multifamily Housing Construction (except For-Sale Builders),coordinates,Pr_65_70_50_37,Pr,Home run cables,1:N,B,score=0.333
236116,New Multifamily Housing Construction (except For-Sale Builders),coordinates,Pr_65_67_29_96,Pr,Whole dwelling fan units,1:N,B,score=0.308
236116,New Multifamily Housing Construction (except For-Sale Builders),coordinates,Pr_40_30_75_38,Pr,Home and office safes,1:N,C,score=0.267
236116,New Multifamily Housing Construction (except For-Sale Builders),coordinates,Ac_45,Ac,Residential activities,1:N,B,score=0.364
236116,New Multifamily Housing Construction (except For-Sale Builders),coordinates,Ac_45_70,Ac,Residential support activities,1:N,B,score=0.333
236116,New Multifamily Housing Construction (except For-Sale Builders),manages,En_45,En,Residential entities,1:N,B,score=0.364
236116,New Multifamily Housing Construction (except For-Sale Builders),manages,En_45_10,En,Residential buildings,1:N,B,score=0.364
236116,New Multifamily Housing Construction (except For-Sale Builders),manages,En_35_50_70,En,Residential welfare buildings,1:N,B,score=0.333
236116,New Multifamily Housing Construction (except For-Sale Builders),manages,En_45_10_90,En,Temporary residential buildings,1:N,B,score=0.333
236116,New Multifamily Housing Construction (except For-Sale Builders),manages,En_45_10_47,En,Long-term residential buildings,1:N,B,score=0.308
236116,New Multifamily Housing Construction (except For-Sale Builders),manages,En_45_10_70,En,Short-term residential buildings,1:N,B,score=0.308
236116,New Multifamily Housing Construction (except For-Sale Builders),manages,Co_45,Co,Residential complexes,1:N,B,score=0.364
236116,New Multifamily Housing Construction (except For-Sale Builders),manages,Co_45_10_41,Co,Housing estates,1:N,B,score=0.364
236116,New Multifamily Housing Construction (except For-Sale Builders),manages,Co_45_10_74,Co,Residential properties,1:N,B,score=0.364
236116,New Multifamily Housing Construction (except For-Sale Builders),manages,Co_45_10_78,Co,Sheltered housing,1:N,B,score=0.364
236116,New Multifamily Housing Construction (except For-Sale Builders),manages,Co_45_10_36,Co,High-rise residential complexes,1:N,B,score=0.308
236117,New Housing For-Sale Builders,coordinates,Ss_55_20_14_70,Ss,Residential central vacuum systems,1:N,B,score=0.4
236117,New Housing For-Sale Builders,coordinates,Ss_55_30_98_23,Ss,Domestic and residential sprinkler systems,1:N,B,score=0.4
236117,New Housing For-Sale Builders,coordinates,Ss_90_45,Ss,Specific demand of residential organizations,1:N,B,score=0.4
236117,New Housing For-Sale Builders,coordinates,Ss_40_45_70,Ss,Residential living space FF&E systems,1:N,B,score=0.333
236117,New Housing For-Sale Builders,coordinates,Ss_55_30_98_70,Ss,Residential water mist systems,1:N,C,score=0.286
236117,New Housing For-Sale Builders,coordinates,Pr_40_30_04,Pr,Animal housing,1:N,A,score=0.5
236117,New Housing For-Sale Builders,coordinates,Pr_65_70_50_37,Pr,Home run cables,1:N,B,score=0.444
236117,New Housing For-Sale Builders,coordinates,Pr_65_67_29_96,Pr,Whole dwelling fan units,1:N,B,score=0.4
236117,New Housing For-Sale Builders,coordinates,Pr_40_30_75_38,Pr,Home and office safes,1:N,B,score=0.333
236117,New Housing For-Sale Builders,coordinates,Ac_45,Ac,Residential activities,1:N,A,score=0.5
236117,New Housing For-Sale Builders,coordinates,Ac_45_70,Ac,Residential support activities,1:N,B,score=0.444
236117,New Housing For-Sale Builders,manages,En_45,En,Residential entities,1:N,A,score=0.5
236117,New Housing For-Sale Builders,manages,En_45_10,En,Residential buildings,1:N,A,score=0.5
236117,New Housing For-Sale Builders,manages,En_35_50_70,En,Residential welfare buildings,1:N,B,score=0.444
236117,New Housing For-Sale Builders,manages,En_45_10_90,En,Temporary residential buildings,1:N,B,score=0.444
236117,New Housing For-Sale Builders,manages,En_45_10_47,En,Long-term residential buildings,1:N,B,score=0.4
236117,New Housing For-Sale Builders,manages,En_45_10_70,En,Short-term residential buildings,1:N,B,score=0.4
236117,New Housing For-Sale Builders,manages,Co_45,Co,Residential complexes,1:N,A,score=0.5
236117,New Housing For-Sale Builders,manages,Co_45_10_41,Co,Housing estates,1:N,A,score=0.5
236117,New Housing For-Sale Builders,manages,Co_45_10_74,Co,Residential properties,1:N,A,score=0.5
236117,New Housing For-Sale Builders,manages,Co_45_10_78,Co,Sheltered housing,1:N,A,score=0.5
236117,New Housing For-Sale Builders,manages,Co_45_10_36,Co,High-rise residential complexes,1:N,B,score=0.4
236118,Residential Remodelers,coordinates,Ss_55_20_14_70,Ss,Residential central vacuum systems,1:N,A,score=0.5
236118,Residential Remodelers,coordinates,Ss_55_30_98_23,Ss,Domestic and residential sprinkler systems,1:N,A,score=0.5
236118,Residential Remodelers,coordinates,Ss_90_45,Ss,Specific demand of residential organizations,1:N,A,score=0.5
236118,Residential Remodelers,coordinates,Ss_40_45_70,Ss,Residential living space FF&E systems,1:N,B,score=0.4
236118,Residential Remodelers,coordinates,Ss_55_30_98_70,Ss,Residential water mist systems,1:N,B,score=0.333
236118,Residential Remodelers,coordinates,Pr_40_30_04,Pr,Animal housing,1:N,A,score=0.667
236118,Residential Remodelers,coordinates,Pr_65_70_50_37,Pr,Home run cables,1:N,A,score=0.571
236118,Residential Remodelers,coordinates,Pr_65_67_29_96,Pr,Whole dwelling fan units,1:N,A,score=0.5
236118,Residential Remodelers,coordinates,Pr_40_30_75_38,Pr,Home and office safes,1:N,B,score=0.4
236118,Residential Remodelers,coordinates,Ac_45,Ac,Residential activities,1:N,A,score=0.667
236118,Residential Remodelers,coordinates,Ac_45_70,Ac,Residential support activities,1:N,A,score=0.571
236118,Residential Remodelers,manages,En_45,En,Residential entities,1:N,A,score=0.667
236118,Residential Remodelers,manages,En_45_10,En,Residential buildings,1:N,A,score=0.667
236118,Residential Remodelers,manages,En_35_50_70,En,Residential welfare buildings,1:N,A,score=0.571
236118,Residential Remodelers,manages,En_45_10_90,En,Temporary residential buildings,1:N,A,score=0.571
236118,Residential Remodelers,manages,En_45_10_47,En,Long-term residential buildings,1:N,A,score=0.5
236118,Residential Remodelers,manages,En_45_10_70,En,Short-term residential buildings,1:N,A,score=0.5
236118,Residential Remodelers,manages,Co_45,Co,Residential complexes,1:N,A,score=0.667
236118,Residential Remodelers,manages,Co_45_10_41,Co,Housing estates,1:N,A,score=0.667
236118,Residential Remodelers,manages,Co_45_10_74,Co,Residential properties,1:N,A,score=0.667
236118,Residential Remodelers,manages,Co_45_10_78,Co,Sheltered housing,1:N,A,score=0.667
236118,Residential Remodelers,manages,Co_45_10_36,Co,High-rise residential complexes,1:N,A,score=0.5
2362,Nonresidential Building Construction,coordinates,Ss_20_40_10,Ss,Building cable systems,1:N,C,score=0.2
2362,Nonresidential Building Construction,coordinates,Ss_40_10_35_10,Ss,Building signage systems,1:N,C,score=0.2
2362,Nonresidential Building Construction,coordinates,Pr_25_57_10_09,Pr,Building papers,1:N,C,score=0.25
2362,Nonresidential Building Construction,coordinates,Pr_30_31_76_16,Pr,Construction joint sealants,1:N,C,score=0.2
2362,Nonresidential Building Construction,coordinates,Ac_10_40,Ac,Construction,1:N,B,score=0.333
2362,Nonresidential Building Construction,coordinates,Ac_15_50_10,Ac,Building surveying,1:N,C,score=0.25
2362,Nonresidential Building Construction,coordinates,Ac_05_30_10,Ac,Building regulation assessing,1:N,C,score=0.2
2362,Nonresidential Building Construction,coordinates,Ac_05_60_10,Ac,Building contract administrating,1:N,C,score=0.2
2362,Nonresidential Building Construction,coordinates,Ac_05_70_10,Ac,Building user assisting,1:N,C,score=0.2
2362,Nonresidential Building Construction,coordinates,Ac_10,Ac,"Preparation, construction and repair",1:N,C,score=0.2
2362,Nonresidential Building Construction,coordinates,Ac_15_20_25,Ac,Ecological building surveying,1:N,C,score=0.2
2362,Nonresidential Building Construction,coordinates,Ac_15_45_35,Ac,Historic building surveying,1:N,C,score=0.2
2362,Nonresidential Building Construction,coordinates,Ac_15_50,Ac,Building fabric surveying,1:N,C,score=0.2
2362,Nonresidential Building Construction,manages,En_90_30,En,Construction entities,1:N,C,score=0.25
2362,Nonresidential Building Construction,manages,En_90_30_15,En,Construction sites,1:N,C,score=0.25
23621,Industrial Building Construction,coordinates,Ss_25_30_20_40,Ss,Industrial doorset systems,1:N,A,score=0.5
23621,Industrial Building Construction,coordinates,Ss_35_10_30_40,Ss,Industrial stair systems,1:N,A,score=0.5
23621,Industrial Building Construction,coordinates,Ss_80_50_96,Ss,Warehouse stacking systems,1:N,A,score=0.5
23621,Industrial Building Construction,coordinates,Ss_80_80_40,Ss,Industrial turntable systems,1:N,A,score=0.5
23621,Industrial Building Construction,coordinates,Ss_40_30_42,Ss,Industrial FF&E systems,1:N,B,score=0.444
23621,Industrial Building Construction,coordinates,Ss_40_30_42_29,Ss,Factory FF&E systems,1:N,B,score=0.444
23621,Industrial Building Construction,coordinates,Ss_40_30_42_96,Ss,Warehouse FF&E systems,1:N,B,score=0.444
23621,Industrial Building Construction,coordinates,Ss_55_20_14_40,Ss,Industrial central vacuum systems,1:N,B,score=0.444
23621,Industrial Building Construction,coordinates,Ss_65_40_42,Ss,Industrial fume extract systems,1:N,B,score=0.444
23621,Industrial Building Construction,coordinates,Ss_90_30,Ss,Specific demand of industrial organizations,1:N,B,score=0.444
23621,Industrial Building Construction,coordinates,Pr_40_70_99_42,Pr,Industrial scales,1:N,A,score=0.571
23621,Industrial Building Construction,coordinates,Pr_65_72_97_40,Pr,Industrial plugs,1:N,A,score=0.571
23621,Industrial Building Construction,coordinates,Pr_70_75_94_42,Pr,Industrial bells,1:N,A,score=0.571
23621,Industrial Building Construction,coordinates,Pr_35_31_64_29,Pr,Factory-mixed plasters,1:N,A,score=0.5
23621,Industrial Building Construction,coordinates,Pr_40_30_30_42,Pr,Industrial work benches,1:N,A,score=0.5
23621,Industrial Building Construction,coordinates,Pr_65_72_97_41,Pr,Industrial socket outlets,1:N,A,score=0.5
23621,Industrial Building Construction,coordinates,Pr_45_31_89_81,Pr,Soil amelioration industrial by-products,1:N,B,score=0.444
23621,Industrial Building Construction,coordinates,Pr_65_54_33_43,Pr,Industrial vacuum flow regulating valves,1:N,B,score=0.4
23621,Industrial Building Construction,coordinates,Pr_30_59_72_30,Pr,Factory-assembled insulating rooflights (FAIRs),1:N,B,score=0.333
23621,Industrial Building Construction,coordinates,Ac_30,Ac,Industrial activities,1:N,A,score=0.571
23621,Industrial Building Construction,coordinates,Ac_30_50,Ac,Manufacturing activities,1:N,A,score=0.571
23621,Industrial Building Construction,coordinates,Ac_30_50_30,Ac,Heavy industrial activities,1:N,A,score=0.5
23621,Industrial Building Construction,coordinates,Ac_30_50_53,Ac,Light industrial activities,1:N,A,score=0.5
23621,Industrial Building Construction,manages,En_30,En,Industrial entities,1:N,A,score=0.571
23621,Industrial Building Construction,manages,En_30_50,En,Manufacturing entities,1:N,A,score=0.571
23621,Industrial Building Construction,manages,En_30_50_50,En,Manufacturing buildings,1:N,A,score=0.571
23621,Industrial Building Construction,manages,En_90_50_50,En,Manufacturing tanks and silos,1:N,A,score=0.5
23621,Industrial Building Construction,manages,Co_30,Co,Industrial complexes,1:N,A,score=0.571
23621,Industrial Building Construction,manages,Co_30_50,Co,Manufacturing complexes,1:N,A,score=0.571
23621,Industrial Building Construction,manages,Co_30_50_41,Co,Industrial parks,1:N,A,score=0.571
23621,Industrial Building Construction,manages,Co_30_50_37,Co,Heavy manufacturing complexes,1:N,A,score=0.5
23621,Industrial Building Construction,manages,Co_30_50_47,Co,Light manufacturing complexes,1:N,A,score=0.5
236210,Industrial Building Construction,coordinates,Ss_25_30_20_40,Ss,Industrial doorset systems,1:N,A,score=0.5
236210,Industrial Building Construction,coordinates,Ss_35_10_30_40,Ss,Industrial stair systems,1:N,A,score=0.5
236210,Industrial Building Construction,coordinates,Ss_80_50_96,Ss,Warehouse stacking systems,1:N,A,score=0.5
236210,Industrial Building Construction,coordinates,Ss_80_80_40,Ss,Industrial turntable systems,1:N,A,score=0.5
236210,Industrial Building Construction,coordinates,Ss_40_30_42,Ss,Industrial FF&E systems,1:N,B,score=0.444
236210,Industrial Building Construction,coordinates,Ss_40_30_42_29,Ss,Factory FF&E systems,1:N,B,score=0.444
236210,Industrial Building Construction,coordinates,Ss_40_30_42_96,Ss,Warehouse FF&E systems,1:N,B,score=0.444
236210,Industrial Building Construction,coordinates,Ss_55_20_14_40,Ss,Industrial central vacuum systems,1:N,B,score=0.444
236210,Industrial Building Construction,coordinates,Ss_65_40_42,Ss,Industrial fume extract systems,1:N,B,score=0.444
236210,Industrial Building Construction,coordinates,Ss_90_30,Ss,Specific demand of industrial organizations,1:N,B,score=0.444
236210,Industrial Building Construction,coordinates,Pr_40_70_99_42,Pr,Industrial scales,1:N,A,score=0.571
236210,Industrial Building Construction,coordinates,Pr_65_72_97_40,Pr,Industrial plugs,1:N,A,score=0.571
236210,Industrial Building Construction,coordinates,Pr_70_75_94_42,Pr,Industrial bells,1:N,A,score=0.571
236210,Industrial Building Construction,coordinates,Pr_35_31_64_29,Pr,Factory-mixed plasters,1:N,A,score=0.5
236210,Industrial Building Construction,coordinates,Pr_40_30_30_42,Pr,Industrial work benches,1:N,A,score=0.5
236210,Industrial Building Construction,coordinates,Pr_65_72_97_41,Pr,Industrial socket outlets,1:N,A,score=0.5
236210,Industrial Building Construction,coordinates,Pr_45_31_89_81,Pr,Soil amelioration industrial by-products,1:N,B,score=0.444
236210,Industrial Building Construction,coordinates,Pr_65_54_33_43,Pr,Industrial vacuum flow regulating valves,1:N,B,score=0.4
236210,Industrial Building Construction,coordinates,Pr_30_59_72_30,Pr,Factory-assembled insulating rooflights (FAIRs),1:N,B,score=0.333
236210,Industrial Building Construction,coordinates,Ac_30,Ac,Industrial activities,1:N,A,score=0.571
236210,Industrial Building Construction,coordinates,Ac_30_50,Ac,Manufacturing activities,1:N,A,score=0.571
236210,Industrial Building Construction,coordinates,Ac_30_50_30,Ac,Heavy industrial activities,1:N,A,score=0.5
236210,Industrial Building Construction,coordinates,Ac_30_50_53,Ac,Light industrial activities,1:N,A,score=0.5
236210,Industrial Building Construction,manages,En_30,En,Industrial entities,1:N,A,score=0.571
236210,Industrial Building Construction,manages,En_30_50,En,Manufacturing entities,1:N,A,score=0.571
236210,Industrial Building Construction,manages,En_30_50_50,En,Manufacturing buildings,1:N,A,score=0.571
236210,Industrial Building Construction,manages,En_90_50_50,En,Manufacturing tanks and silos,1:N,A,score=0.5
236210,Industrial Building Construction,manages,Co_30,Co,Industrial complexes,1:N,A,score=0.571
236210,Industrial Building Construction,manages,Co_30_50,Co,Manufacturing complexes,1:N,A,score=0.571
236210,Industrial Building Construction,manages,Co_30_50_41,Co,Industrial parks,1:N,A,score=0.571
236210,Industrial Building Construction,manages,Co_30_50_37,Co,Heavy manufacturing complexes,1:N,A,score=0.5
236210,Industrial Building Construction,manages,Co_30_50_47,Co,Light manufacturing complexes,1:N,A,score=0.5
23622,Commercial and Institutional Building Construction,coordinates,Ss_40_15_58,Ss,Office equipment systems,1:N,B,score=0.444
23622,Commercial and Institutional Building Construction,coordinates,Ss_40_20_01_60,Ss,Office FF&E systems,1:N,B,score=0.4
23622,Commercial and Institutional Building Construction,coordinates,Ss_40_20_15,Ss,Commercial FF&E systems,1:N,B,score=0.4
23622,Commercial and Institutional Building Construction,coordinates,Ss_40_20_15_71,Ss,Retail FF&E systems,1:N,B,score=0.4
23622,Commercial and Institutional Building Construction,coordinates,Ss_40_15_25_15,Ss,Commercial catering FF&E systems,1:N,B,score=0.364
23622,Commercial and Institutional Building Construction,coordinates,Ss_40_15_46_15,Ss,Commercial laundry FF&E systems,1:N,B,score=0.364
23622,Commercial and Institutional Building Construction,coordinates,Ss_90_20,Ss,"Specific demand of administrative, commercial and protective services",1:N,B,score=0.333
23622,Commercial and Institutional Building Construction,coordinates,Ss_40_20,Ss,"Administrative, commercial and protective service FF&E systems",1:N,B,score=0.308
23622,Commercial and Institutional Building Construction,coordinates,Ss_50_30_04_15,Ss,Commercial catering wastewater drainage systems,1:N,B,score=0.308
23622,Commercial and Institutional Building Construction,coordinates,Pr_40_50_12_57,Pr,Office chairs,1:N,A,score=0.5
23622,Commercial and Institutional Building Construction,coordinates,Pr_40_50_21_59,Pr,Office desks,1:N,A,score=0.5
23622,Commercial and Institutional Building Construction,coordinates,Pr_40_50_21_60,Pr,Office tables,1:N,A,score=0.5
23622,Commercial and Institutional Building Construction,coordinates,Pr_40_70_58,Pr,Office equipment,1:N,A,score=0.5
23622,Commercial and Institutional Building Construction,coordinates,Pr_40_30_25_71,Pr,Retail display fittings,1:N,B,score=0.444
23622,Commercial and Institutional Building Construction,coordinates,Pr_40_30_78_71,Pr,Retail shelf units,1:N,B,score=0.444
23622,Commercial and Institutional Building Construction,coordinates,Pr_40_30_87_57,Pr,Office storage units,1:N,B,score=0.444
23622,Commercial and Institutional Building Construction,coordinates,Pr_40_30_87_72,Pr,Retail storage units,1:N,B,score=0.444
23622,Commercial and Institutional Building Construction,coordinates,Pr_40_70_17,Pr,Commercial cooking equipment,1:N,B,score=0.444
